,Description,Classificació
91,"Hi haurà batalla pel lideratge de Podem a la Comunitat Valenciana. Hui la síndica d'Unides Podem, Naiara Davó ha anunciat en 'Les notícies del matí' que es presentarà a la secretaria general de la formació morada. Ha ha deixat la mà oberta perquè s'integre en la seua candidatura la diputada Pilar Lima que ja havia anunciat que es presentaria a liderar Podem. Però Lima s'ha refermart en la intenció de disputar el lideratge a Naiara Davó.",POLÍTICA
92,"Ja hem passat per Gandia i Peníscola, dos ciutats que encenten hui la desescalada a la Comunitat Valenciana. Recordem cóm quedaa colp d'ull el nostre mapa en este procés d'incorporació ala normalitat282 municipis, on viuen més d'un milió i mig de persones, el 30% de la població valenciana, avancen a la fase 1.Per contra, quasi tres milions i mig, un 70%, es quedaran en la fase 0. I és que els departaments de salut on s'inclouen les ciutats més poblades, Castelló. València i Alacant i les seues àrees metropolitanes, es queden en la fase zero. Per tant, passa de fase, l'àrea de salut de Vinaròs, que és l'únicade les comarques del nord. També ho fa Requena, les comarques centrals , la Marina Baixa, Elda i el Baix Segura. Finalment, també entra en la fase 1 el Racó d'Ademús.En total,UN TERÇ DE LA POBLACIÓ VALENCIANA, A LA FASE 1",MEDICINA I SANITAT
93,"L'alcalde de València ha llevat ferro hui a la polèmica arran de la concentració de gent d'ahir a les portes de la basílica de la Mare de Déu.Recordem que vora 300 fidels es van reunir a la plaça amb motiu de la festivitat de la patrona i que i l'arquebisbat va traure la imatge fins a l'entrada del temple. Diu Ribó que no veu una aglomeració important de persones, en tot cas no era superior a la que es podia registrar en altres llocs de València, com als parcs.L'ALCALDE NO VEU AGLOMERACIÓ A LA BASÍLICA",MEDICINA I SANITAT | FESTES I TRADICIONS
94,"Un 70% de la població valenciana es manté hui dilluns en la fase 0. La Generalitat continua reclamant a estes hores un informe al Ministeri que explique els motius d'esta decisió. Però este document no arriba. Fernando Simón, coordinador d'emergències sanitàries, ha passat la pilota al Ministeri este matí, assegurant que ell sí que va lliurar el document que explicaria el perquè la Comunitat Valenciana en la seua totalitat no ha passat a la fase 1. La consellera demanarà explicacions en una reunió interterritorial esta vesprada amb el ministre de Sanitat. La Generalitat critica la decisió del govern espanyol de no passar la totalitat de la Comunitat Valenciana a la fase 1 i esta vesprada demarà explicacions. Ho farà la consellera de Sanitat en la reunió interterritorial amb el ministre de Sanitat.La Generalitat insistix que complix tots els requisits que demanava el Ministeri de Sanitat i reclama un informe per escrit amb els motius que l'han deixada encallada en la fase 0, que encara no ha arribat. Un informe que, segons el director d'Emergències Sanitàries, no hi ha cap problema que siga públic.TALL: SIMÓN ""nosotros somos los responsables de hacer el informe y la decisión se toma a nivel ministro. Entiendo que en algún momento se harán públicosTALL. PUIG "" sols 9 paraules, els factors asociacts a la transmisició de l'epidemia són els que justifiquen que no paseLa decisió del Ministeri d'autoritzar el salt a la fase 1 d'altres comunitats amb pitjors indicadors com el País Basc també ha causat malestar entre altres líders autonòmics com l'andalús. Un malestar que augmenta en saber que, una vegada aconseguit el pas a la fase 1, el País Basc ha decidit retallar les seues possibilitats de mobilitat.TALL: SIMÓN ""Euskadi estaba para pasar a la fase 1, si luego a nivel autónomico han decidido hac",POLÍTICA
95,"Pel que fa a l'evolució de l'epidèmia a la Comunitat Valenciana, les últimes dades revelen que la incidència continua sent baixa.En les últimes 24 hores hi ha hagut 41 nous contagis, 16 notificats per proves PCR i 25 per tests ràpids. A més, 7 persones han perdut la vida, i això eleva el total de morts a 1.345 des que va començar la crisi sanitària. D'altra banda, 84 malalts es van recuperar ahir del virus. Dos detalls més que confirmen l'estabilització de l'epidèmia són que no hi ha hagut cap nou ingrés a les UCI i només hi ha hagut una nova hospitalització en tota la Comunitat Valenciana.",MEDICINA I SANITAT
96,"Tot i les paraules de l'alcalde, la Policia Local ha elevat una proposta de denúncia en considerar que no s'haurien complit les mesures de seguretat. La delegada del govern espanyol a la Comunitat Valenciana, Gloria Calero, diu que estan esperant l'informe policial, però apel·la a la prudència i la responsabilitat.",JUSTÍCIA I ORDRE  PÚBLIC
97,"En altres 9 departaments de la Comunitat Valenciana, hui els comerços han pogut obrir. Això sí, respectant totes les mesures de seguretat. A les comarques del nord han sigut només els municipis adscrits al Departament de Salut de Vinaròs.",SOCIETAT
98,"Pel que fa a l'evolució de l'epidèmia a la Comunitat Valencia, les últimes dades revelen que la incidència continua sent baixa.En les últimes 24 hores hi ha hagut 41 nous contagis, 16 notificats per proves PCR i 25 per tests ràpids. Tambe hi ha 7 persones que han perdut la vida, i això eleva el total de morts a 1.345 des que va començar la crisi sanitària. A més, 84 persones es van recuperar ahir de la malaltia. Dos detalls més que confirmen l'estabilització de l'epidemia són que no hi ha hagut cap nou ingrés a les UCI i només hi ha hagut una nova hospitalitzacó a tota la Comunitat Valenciana.l'epidèmia continua estabilitzantse",MEDICINA I SANITAT
99,"Polèmiques entre administracions a banda, en el que tots coincideixen és en la gran importància que a partir d'ara van a tindre els centres d'atenció primària. Estos centres van a ser la primera línia de lluita contra l'epidèmia, però algunes veus alerten que no estan ben preparats per a esta nova fase.",MEDICINA I SANITAT
100,"TALL PUIG. LA COMUNITAT VALENCIANA NO HA SUSPÉS CAP EXAMEN. NI HA FET RES MALUn extens informe de la Generalitat, que és públic, detalla les mesures que s'han pres seguint les indicacions exigides pel govern d'Espanya per a passar a la fase 1. De moment, sense aconseguirho, i sense una resposta convincent.TALL PUIG. 234 pàgines i no tenim ni una resposta. Sols amb 9 paraules: els factors associatsa la transmissió de l'epidèmia són els que justifiquen que la Comunitat Valenciana en el seu conjunt no passe a la fase 1Un criteri que no s'havia inclòs, d'ahí que Puig demane claredat a l'hora d'establir les regles del joc.TALL PUIG, la cogovernança exigix transparència, reciprocitat i regles objectives. El que no ens agradarie és que se'ns donaren les explicacions per píndoles.El que es pot fer és canviar les regles de joc a meitat del partit, és que això no es pot fer.Una desescalada que ha frenat la represa de l'activitat de milers d'empresaris i autònoms que ja havien adaptat els seus negocis a la fase1.TALL PUIG. IVULL DEMANARLOS DISCULPES I COMPARTIR EL SEU MALESTAR PERQUÈ S'HAGEN VIST FRUSTRADES ESTA SETMANA LES EXPECTATIVES QUE TENIENDes de la prudència, Pu",POLÍTICA
102,"Més coses, la plaça de l'Ajuntament de València és, des de hui, només per a l'ús dels vianants i del transport públic.La primera fase allibera 12 mil metres quadrats per al passeig de vianants, i tanca el trànsit privat, que només hi podrà accedir per un carril des del carrer del Marqués de Sotelo cap al carrer de Roger de Llúria. Canvis també en el recorregut d'algunes línies de l'EMT, com la C1 que funcionarà com a intercanviador. Quan la ciutat passe a la fase 1 de desescalada, les terrasses podran muntarse a la calçada per a deixar lliures les voreres. També es col·locaran 10 mil jardineres per a evitar l'accés de vehicles no autoritzats.Primera fase de conversió en zona de vianants",URBANISME I HABITATGE
103,"Ni Falles al juliol ni a l'octubre. Eixa és la conclusió d'una enquesta feta pels delegats de sectors a les comissions de la ciutat de València.Tot i no ser una consulta oficial, 200 comissions falleres hi han participat i en el resultat destaca la negativa de celebrar unes Falles reduïdes en els pròxims mesos. Preferixen guardar les falles i plantarles al març del 2021. Una opinió no vinculant però que sembla que podria avançar la decisió del consistori que estava prevista per a mitjants de juny.LES COMISSIONS VOLEN AJORNAR LES FALLES AL 2021",FESTES I TRADICIONS
104,"Mentrestant, a les comarques del nord el xicotet comerç dels 31 municipis adscrits al departament de salut de Vinaròs , que han passat a la fase 1, ja han pogut rependre l'activitat. En el cas de Vinaròs, este matí s´han pogut vore, fins i tot, cues per aa accedir a alguns comerços. Més del 90% de les botigues han obert després de condicionar els locals i pendre totes les mesures necessàries per a garantir la seguretat de la clientela.OBRIN MÉS DEL 90% DELS COMERÇOS","ECONOMIA, COMERÇ I FINANCES"
106,"Bon Dia. La Generalitat continua esperant la resposta per escrit del Ministeri de Sanitat que explique les raons per les quals no tota la Comunitat Valenciana ha passat hui a la fase 1 de la desescalada.Este matí, segons ha confirmat la Conselleria de Sanitat, tampoc hi ha prevista cap videoconferència entre els responsable sanitaris del Consell i els del govern espanyol per abordar la qüestió. Serà esta vesprada quan la consellera Ana Barceló i el ministre Salvador Illa es tornen a vore. No serà una reunió bilateral, sinó una trobada en el marc de la Interterritorial de Sanitat que reunix els representants de totes les comunitats autònomes amb l'equip ministerial.Barceló demanarà més explicacions al ministre",MEDICINA I SANITAT
107,"Les comarques centrals, el Baix Maestrat i el Baix Segura són els territoris valencians que des d'este dilluns assatgen com serà la vida en la fase 1 de la desescalada. Es reactiva, poc a poc, la vida social en 10 departaments de salut, on viu la tercera part de la població de la Comunitat Valenciana. Podran reunirse amb familiars o amistats en grups de fins a 10 persones, com a màxim, i sempre mantenint les distàncies de seguretat. També podran anar a les segones residències, sempre i quan estiguen en el mateix departament de salut.COM SON LES REUNIONS EN LA FASE 1 DESESCALADA",SOCIETAT
108,"Fins ací les normes. I què està passnt al carrer ? Este matí hem estat a Gandia.A la Safor s'ha tornat a veure una imatge que feia mesos que no es donava: la de les terrasses dels bars i les cafeteries disponibles al 50%, i amb els primers clients. Els que han decidit obrir asseguren que era necessari per a salvar el negoci, i que ho han fet complint amb totes les mesures de seguretat.Terrasses obertes a Gandia",TURISME
109,"D'aci a uns pocs minuts, a la una, es firma al Palau de la Moncloa l'Acord social en defensa de l'ocupació.Este acord permet ampliar fins al 30 de juny els ERTO, amb la possibilitat de prorrogarlos més enllà si continuen les restriccions d'activitat per raons sanitàries. El president del govern espanyol, Pedro Sánchez, presidirà l'acte. Assistixen els vicepresidents Pablo Iglesias i Nadia Calviño; la ministra de Treball, Yolanda Díaz, i els representants d'UGT, CCOO, CEOE i CEPYME.ES FIRMA EL PACTE PER A ALLARGAR ELS ERTO",TREBALL
110,El Partit Popular ha demanat la compareixença urgent del president de la Generalitat a les Corts. També la demana Ciutadans.L'oposició qüestiona la capacitat de la Conselleria de Sanitat de fer tests i acusa el Consell de mentir per dir que les proves de PCR no comptaven per a passar de la fase 0 a la fase 1. Els grups del Botànic posen en valor la transparència que ha mostrat el Consell en fer públic l'informe que va enviar al govern espanyol i demanen al Ministeri de Sanitat que faça el mateix.L'oposició demana la compareixença urgent de Puig,POLÍTICA
111,"Nova baixada de nous casos i de defuncions a tot Espanya com a consequencia del coranavirus.Segons les dades del Centre d'Alertes i Emergències Sanitàries, en les útlimes 24 hores els nous contagis notificats per PCR només són 373 mentre que les morts baixen fins a les 123. En sis comunitats autònomes no sha produit cap defunció. Pel que fa a les altes, són pràcticament un miler de persones. Amb estes dades, el balanç global d'infectats a Espanya es manté lleugerament per damunt de les 227.000 persones mentre que les morts superen les 26.700. Malgrat les dades positives, des del centre d'alertes i emergències sanitàries asseguren que, davant el rebrot en països com Alemanya o Corea del Sud, no podem baixar la guàrdia.MORTS I NOUS CONTAGIS BAIXEN A TOT ESPANYA",MEDICINA I SANITAT
112,"El lideratge de Podem a la Comunitat Valenciana se'l disputaran el mes que ve dos dones. La síndica de la formació a les Corts, Naiara Davó, es presentarà com a candidata a la secretaria general del partit. Ho ha confimat en una entrevista a 'Les notícies del matí' on ha estés la mà a la diputada Pilar Lima per a integrarse en una candidatura conjunta. Però Lima, que ja havia anunciat la candidatura, ha respost fa uns minuts que vol liderar el seu primer projecte.",POLÍTICA
113,"Per què la Comunitat Valenciana no va passar completa a la fase u? Després de la reunió d'ahir entre la Conselleria i el Ministeri, continua sent una incògnita.ILLA14:16 La decision se toma en base a criterios tecnicos yde mucha prudencia BARCELÓnoconocíamos los criterios ni teniamos informe por escrito.ILLASe explicaron desde el primcipioSobre els criteris, la discrepància és evident.BARCELÓ Nos dijeron que era LA MOVILIDADese criterio no lo contemplanban. IILA yo no voy a aentrar en polémicas.Ara, tant la conselleria com el ministeri diuen que les relacions són bonesILLA COGOBERNANZA BARCELÓ Illa se ha comprometido a darnos los criterios.Significa això que la setmana que ve tindríem ja tot el territori en la fase 1? La consellera no contestat, però este matí ha sigut Fernando Simón el que s'hi ha referit.TALL SIMON EN LOS PRÒXIMS DIES",MEDICINA I SANITAT | POLÍTICA
115,"La incidència continua a la baixa.En les últimes 24 hores s'han detectat 11 nous contagis per PCR, la xifra total de casos detectats amb este mètode ascendix a 10.740. Ara mateix hi ha 3.497 casos actius. S'han registrat sis defuncions en les últimes 24 hores, quatre de les quals són de residents en centres de majors. Des que va començar la crisi sanitària han mort 1.351 persones diagnosticades amb el virus. Les altes ja superen les 9.000 persones curades; i 144 persones s'han recuperat del virus d'ahir a hui.",MEDICINA I SANITAT
116,"De la xifra global de casos positius destaquem hui els quasi 900 infermers i infermeres que s'han infectat ajudant a frenar l'epidèmia. Precisament hui se celebra el Dia Internacional de la Infermeria, una jornada en què hem de lamentar la mort per coronavirus d'una infermera de l'hospital d'Alcoi. La mort d'esta professional i les reivindicacions del col·lectiu protagonitzen el dia en què a pesar de tot, mostren amb orgull la seua vocació.Una mort que es produïx en un dia que havia de ser de celebració i ho és més de reivindicació.I així i tot, els queden forces per a posar en valor la seua professió. Este grup d'infermers i infermeres de l'Hospital Clínic de València ens conten que estan cansats, que moltes vegades senten por i parlen de l'alt cost personal que du aparellada la crisi sanitària.3.12 3.2111.1511.2815.10Infermeres i infermers en primera línia que hui celebren amb llums i ombres el dia de la seua professió ",MEDICINA I SANITAT
122,"I ara escolten estes paraules.És Pilar Ventura, la consellera de Sanitat d'Aragó, que afirmava dissabte passat, davant les crítiques per falta de material, que per als sanitaris era tot un estímul fabricarse ells mateixos els equips de protecció contra el coronavirus. Unes declaracions que indignaren el col·lectiu de metges i infermeres, que immediatament li van demanar que dimitira. Ahir i hui s'havien convocat cinc minuts de silenci en hospitals i centres de salut en senyal de protesta. Esta vesprada, Pilar Ventura ha dimitit.DIMITIX LA CONSELLERA DE SANITAT D'ARAGÓ",POLÍTICA
123,La comunicacio fluida es un requisit de Ciutadans per al vot favorable de la quarta prorroga de l'estat d'alarma,POLÍTICA
124,"Abans d'acabar elsrecordem que la Comunitat Valenciana tornarà a demanar per carta al Ministeri este mateix matí que els 14 departaments de salut valencians que continuen en fase 0 puguen avançar a la 1 el pròxim dilluns. Això sí, la petició de la Conselleria de Salut Universal, que es basarà en l'informe i les dades presentades la setmana passada, inclourà dos excepcions: primera, que en cap departament es puguen celebrar actes culturals o festius de més de 200 persones i segona, que en un únic departament, tampoc hi puga haver contacte social de fins a 10 persones. No ha dit de quina àrea de salut es tracta perquè primer vol anunciarho als ajuntaments afectats.",MEDICINA I SANITAT
126,"El Tribunal Suprem confirma l'arxivament de la causa de les preferents de la CAM . Era la peça separada que investigava els exdirectors generals de la Caixa d'Estalvis del Mediterrani, Roberto López Abad i María Dolores Amorós, per pressumptes irregularitats en la venda d'un producte bancari.El recurs l'havia interposat l'Associació de Consumidors de Banca, Adicae, després que les acusacions particulars es retiraren al juliol del 2018. La CAM va arribar a captar 1.609 milions d'euros amb les diferents emissions de participacions preferents que va vendre als clients minoristes.EL SUPREM CONFIRMA L'ARXIVAMENT DE LES PREFERENTS",JUSTÍCIA I ORDRE  PÚBLIC
128,"Europa busca fórmules per intentar pal·liar l'impacte negatiu del coronavirus sobre la campanya turística d'este estiu.La Comissió Europea presenta este dimecres un pla d'acció que planteja obrir corredors de viatgers entre diferents països. Espanya estudia pactar amb Itàlia, França, el Regne Unit i Alemanya en quines condicions es podrien reempendre els vols entre els aeroports. La ministra d'Indústria, Comerç i Turisme, Reyes Maroto, ha apuntat esta setmana la necessitat d'establir un mateix protocol europeu mentre dure la pandèmia.EUROPA PACTA CORREDORS TURÍSTICS PER A L'ESTIU",TURISME | TRANSPORTS I COMUNICACIONS
129,"Com els hem contat a l'inici d'este avanç informatiu, a primera hora d'esta vesprada s'ha convocat una reunió entre l'Ajuntament de Valènciai els representants de la festa i els artistes fallersper a decidir què fer amb les Falles d'enguany.A la reunió s'arriba sense una opinió unànime. Alacant ja va suspendre ahir les Fogueres que, en principi, havia ajornat al setembre. La decisió es va pendre després d'una votació entre les comissions.I Castelló, que no havia posat data encara a les festes de la Magdalena, també va anunciar que traslladava tot el calendari festiu al 2021. Ara s'analitza l'impacte econòmic que tindran estes decisions. A Alacant, els artistes foguerers preveuen el tancament de molts tallers, mentre que a Castelló, l'Ajuntament vol dinamitzar els sectors que treballen al voltant de la festa.SE SUSPENEN LES FESTES DE CASTELLÓ I ALACANT",FESTES I TRADICIONS
130,"Agre enfrontament en la sessió de control al Congrés, entre el diputat de COmpromís, Joan Baldoví, i la ministra d'Hisenda pel finançament de la Comunitat Valenciana i el repartiment del fons de 16.000 milions d'euros. Baldoví ha demanat més diners per a la comunitat valenciana i Montero li ha retret que antepose els seus interesos en funció de la situació valenciana i que ""embolique"" amb problemes inexistents.",POLÍTICA
131,suport directe amb rosa romero des de la conselleria de sanitat,"ECONOMIA, COMERÇ I FINANCES"
132,"Compromís no votarà a favor d'una nova pròrroga de l'estat d'alarma. El desencadenant d'esta falta de suport s'ha produït este matí al Congrés dels Diputats, on Joan Baldoví i la ministra d'Hisenda, Maria Jesús Montero, s'han encarat pel problema estructural que arrossega la Comunitat Valenciana, i que amb la crisi sanitària s'ha agreujat: l'infrafinançament. Esta vesprada decidiran si voten en contra o s'hi abstenen.",POLÍTICA
134,suport directe amb lola oliver des de l' ajuntament de valencia,FESTES I TRADICIONS
135,suport directe amb laura bayarri des de madrid sobre les autonomies que han demanat passar a la fase 1 de desconfinament,POLÍTICA
137,"ENTRADETA DE SEGURETATLa consellera de Sanitat, Ana Barceló, es reunirà en les pròximes hores amb el ministre Salvador Illa, per a analitzar la proposta que tota la Comunitat Valenciana avance a la fase 1 dilluns que ve. Barceló ha explicat que planteja que a la Ribera no es puguen fer reunions de fins a 10 persones per prudència, no per estigmatitzar ningú. En els últims dies en esta àrea de salut s'ha registrat un augment de casos. En l'última setmana s'han detectat 42 contagis nous en l'àrea de salut de la Ribera. Eixe és el motiu que ha donat la consellera de Sanitat per a explicar la prohibició de fer reunions de fins a 10 persones en este departament, tot i proposar que passe a la fase 1, com la resta d'àrees que continuen en la fase 0. La consellera no ha volgut concretar si ha sigut una única localitat de la Ribera on s'ha detectat el focus de contagi.TALL: BARCELÓ ""los técnicos han decidido que era necesario controlar este brote y hacer un seguimientoUna decisió que part del veïnat de la zona considera arbitrària i que compara amb la del Ministeri de Sanitat, quan va impedir que 14 departaments de salut del territori passaren a la fase 1, mentre autoritzava l'avanç d'altres comunitats amb pitjors indicadors.TALL: BARCELÓ ""la ribera pasa completa a la fase 1, no se puede comparar que una comunidad no pase a la fase 1, con una sola medida que no se puede aplicar, pero se aploicarà en los pròximos dias.Pel que fa a l'aplicació d'esta restricció en casos concrets, com per exemple, seure en la terrasa d'un bar, la consellera ha explicat que les persones que conviuen poden ferho.TALL: BARCELÓ ""en las terrazas se pueden sentar las familias, las personas que convivenEn la reunió que la consellera mantindrà hui amb el ministre Illa, Barceló també li traslladarà la proposta d'ampliar la franja horària perquè",MEDICINA I SANITAT
138,"Per la seua part, la ministra d'Educació, Isabel Celaá, ha explicat que treballaran amb les comunitats autònomes en els diferents escenaris que es plantegen amb vista al pròxim curs escolar.",ENSENYAMENT
144," També els pediatres s'han pronunciat sobre este tema. De fet, l'Associació Espanyola de Pediatria ha publicat quel'alumnat d'educació infantil hauria de ser l'últim a tornar a les aules. En un informe considera ""precipitat"" que estos xiquets i xiquetes tornen a escola abans de setembre o octubre. De fet, per a esta societat de pediatres, els primers a tornar al centres educatius haurien de ser els majors de 12 anys, que ja poden respectar les mesures de seguretat, i no els més menuts, que no entenen el risc de contagi.ELS PEDIATRES VEUEN LA TORNADA ""PRECIPITADA""",ENSENYAMENT | MEDICINA I SANITAT
