ESPORTS, 456
CIÈNCIA I INVESTIGACIÓ | MEDICINA I SANITAT, 3
ECONOMIA, COMERÇ I FINANCES | SOCIETAT, 3
TURISME | TRANSPORTS I COMUNICACIONS, 2
ECONOMIA, COMERÇ I FINANCES | POLÍTICA, 2
POLÍTICA | ECONOMIA, COMERÇ I FINANCES, 2
CULTURA | MEDICINA I SANITAT, 2
AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES, 2
POLÍTICA | JUSTÍCIA I ORDRE  PÚBLIC, 2
SOCIETAT | FESTES I TRADICIONS, 2
ECONOMIA, COMERÇ I FINANCES | TURISME, 2
TRANSPORTS I COMUNICACIONS | MEDICINA I SANITAT, 2
MEDICINA I SANITAT | AGRICULTURA, RAMADERIA I PESCA, 2
ENSENYAMENT | ESPORTS, 2
ESPORTS | JUSTÍCIA I ORDRE  PÚBLIC, 2
ACCIDENTS I CATÀSTROFES | FENÒMENS NATURALS, 2
HISTÒRIA, 2
POLÍTICA | TURISME, 2
TREBALL | JUSTÍCIA I ORDRE  PÚBLIC, 1
TRANSPORTS I COMUNICACIONS | GASTRONOMIA, 1
SOCIETAT | MITJANS DE COMUNICACIÓ, 1
TREBALL | MEDICINA I SANITAT, 1
MISCEL·LÀNIA | MEDICINA I SANITAT, 1
URBANISME I HABITATGE | MEDI AMBIENT, 1
TREBALL | ECONOMIA, COMERÇ I FINANCES, 1
MÚSICA | CULTURA, 1
GASTRONOMIA | SOCIETAT, 1
ENSENYAMENT | JUSTÍCIA I ORDRE  PÚBLIC, 1
INDÚSTRIA | TREBALL, 1
MÚSICA | SOCIETAT, 1
JUSTÍCIA I ORDRE  PÚBLIC | TREBALL, 1
SOCIETAT | URBANISME I HABITATGE, 1
CINEMA | MITJANS DE COMUNICACIÓ, 1
POLÍTICA | MEDICINA I SANITAT | ECONOMIA, COMERÇ I FINANCES, 1
POLÍTICA | TERRORISME, 1
SOCIETAT | POLÍTICA, 1
ARTS | MEDICINA I SANITAT, 1
MEDICINA I SANITAT | ESPECTACLES | ENSENYAMENT, 1
MEDICINA I SANITAT | ESPECTACLES, 1
MEDICINA I SANITAT | LITERATURA, 1
ESPORTS | TURISME, 1
ARTS | TREBALL, 1
CIÈNCIA I INVESTIGACIÓ | TURISME, 1
JUSTÍCIA I ORDRE  PÚBLIC | ESPORTS, 1
URBANISME I HABITATGE | TRANSPORTS I COMUNICACIONS, 1
RELIGIÓ | MEDICINA I SANITAT, 1
CULTURA | FESTES I TRADICIONS | RELIGIÓ, 1
POLÍTICA | MITJANS DE COMUNICACIÓ, 1
MEDICINA I SANITAT | JUSTÍCIA I ORDRE  PÚBLIC, 1
ARTS | CULTURA, 1
INDÚSTRIA | ECONOMIA, COMERÇ I FINANCES, 1
FESTES I TRADICIONS | GASTRONOMIA, 1
ESPORTS | SOCIETAT, 1
MEDICINA I SANITAT | MITJANS DE COMUNICACIÓ, 1
FESTES I TRADICIONS | RELIGIÓ, 1
MEDICINA I SANITAT | MEDI AMBIENT, 1
TURISME | URBANISME I HABITATGE, 1
MEDICINA I SANITAT | ARTS, 1
MITJANS DE COMUNICACIÓ | MEDICINA I SANITAT, 1
MEDICINA I SANITAT | CINEMA, 1
MEDICINA I SANITAT | CULTURA, 1
TRANSPORTS I COMUNICACIONS | TURISME, 1
FESTES I TRADICIONS | TREBALL, 1
CIÈNCIA I INVESTIGACIÓ | INDÚSTRIA, 1
ESPORTS | MITJANS DE COMUNICACIÓ, 1
TREBALL | TURISME, 1
CULTURA | RELIGIÓ, 1
CULTURA | ARTS, 1
ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS, 1
SOCIETAT | JUSTÍCIA I ORDRE  PÚBLIC, 1
TURISME | ECONOMIA, COMERÇ I FINANCES, 1
TREBALL | SOCIETAT, 1
URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES, 1
