ESPORTS% 95653
JUSTÍCIA I ORDRE  PÚBLIC% 39042
POLÍTICA% 30031
SOCIETAT% 23588
ACCIDENTS I CATÀSTROFES% 21180
FESTES I TRADICIONS% 13458
MEDICINA I SANITAT% 12099
ECONOMIA, COMERÇ I FINANCES% 12040
AGRICULTURA, RAMADERIA I PESCA% 8209
MEDI AMBIENT% 8067
FENÒMENS NATURALS% 8061
TRANSPORTS I COMUNICACIONS% 7762
TERRORISME% 6091
CONFLICTES ARMATS% 5946
CULTURA% 4684
MÚSICA% 4330
URBANISME I HABITATGE% 4092
TURISME% 4005
CINEMA% 3838
OBRES PÚBLIQUES I INFRAESTRUCTURES% 3817
TREBALL% 3776
ARTS% 3458
ENSENYAMENT% 3191
CIÈNCIA I INVESTIGACIÓ% 2981
RELIGIÓ% 2929
RELACIONS INTERNACIONALS% 2859
ESPECTACLES% 2396
MITJANS DE COMUNICACIÓ% 2018
INDÚSTRIA% 1939
ENERGIA% 1345
DEFENSA% 1225
GASTRONOMIA% 1013
LITERATURA% 613
HISTÒRIA% 605
ESPORTS | ESPORTS% 447
SOCIETAT | FESTES I TRADICIONS% 92
MEDICINA I SANITAT | JUSTÍCIA I ORDRE  PÚBLIC% 92
TERRORISME | POLÍTICA% 89
RELIGIÓ | FESTES I TRADICIONS% 85
ECONOMIA, COMERÇ I FINANCES | SOCIETAT% 84
FESTES I TRADICIONS | RELIGIÓ% 82
ESPORTS | MEDICINA I SANITAT% 81
POLÍTICA | RELACIONS INTERNACIONALS% 79
FENÒMENS NATURALS | TRANSPORTS I COMUNICACIONS% 79
JUSTÍCIA I ORDRE  PÚBLIC | ACCIDENTS I CATÀSTROFES% 78
MEDICINA I SANITAT | CIÈNCIA I INVESTIGACIÓ% 71
JUSTÍCIA I ORDRE  PÚBLIC | MEDICINA I SANITAT% 67
AGRICULTURA, RAMADERIA I PESCA | ECONOMIA, COMERÇ I FINANCES% 66
ACCIDENTS I CATÀSTROFES | TRANSPORTS I COMUNICACIONS% 66
ACCIDENTS I CATÀSTROFES | MEDI AMBIENT% 65
FESTES I TRADICIONS | SOCIETAT% 62
POLÍTICA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 62
CONFLICTES ARMATS | RELACIONS INTERNACIONALS% 61
TRANSPORTS I COMUNICACIONS | JUSTÍCIA I ORDRE  PÚBLIC% 58
TRANSPORTS I COMUNICACIONS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 57
TURISME | ECONOMIA, COMERÇ I FINANCES% 55
ENSENYAMENT | MEDICINA I SANITAT% 55
SOCIETAT | ESPORTS% 54
OBRES PÚBLIQUES I INFRAESTRUCTURES | POLÍTICA% 54
POLÍTICA | TREBALL% 50
ESPORTS | MITJANS DE COMUNICACIÓ% 49
SOCIETAT | TREBALL% 49
OBRES PÚBLIQUES I INFRAESTRUCTURES | TRANSPORTS I COMUNICACIONS% 49
ECONOMIA, COMERÇ I FINANCES | TREBALL% 47
JUSTÍCIA I ORDRE  PÚBLIC | TRANSPORTS I COMUNICACIONS% 47
MITJANS DE COMUNICACIÓ | POLÍTICA% 47
POLÍTICA | MITJANS DE COMUNICACIÓ% 47
POLÍTICA | AGRICULTURA, RAMADERIA I PESCA% 46
TREBALL | ECONOMIA, COMERÇ I FINANCES% 46
ECONOMIA, COMERÇ I FINANCES | MEDICINA I SANITAT% 46
ECONOMIA, COMERÇ I FINANCES | JUSTÍCIA I ORDRE  PÚBLIC% 43
ENSENYAMENT | POLÍTICA% 43
CIÈNCIA I INVESTIGACIÓ | MEDICINA I SANITAT% 43
JUSTÍCIA I ORDRE  PÚBLIC | ESPORTS% 42
TREBALL | MEDICINA I SANITAT% 42
AGRICULTURA, RAMADERIA I PESCA | POLÍTICA% 42
TREBALL | JUSTÍCIA I ORDRE  PÚBLIC% 42
ECONOMIA, COMERÇ I FINANCES | INDÚSTRIA% 42
JUSTÍCIA I ORDRE  PÚBLIC | ECONOMIA, COMERÇ I FINANCES% 41
INDÚSTRIA | ECONOMIA, COMERÇ I FINANCES% 40
TRANSPORTS I COMUNICACIONS | TREBALL% 39
POLÍTICA | ENSENYAMENT% 39
TREBALL | TRANSPORTS I COMUNICACIONS% 39
TRANSPORTS I COMUNICACIONS | ACCIDENTS I CATÀSTROFES% 39
FESTES I TRADICIONS | TURISME% 39
RELIGIÓ | SOCIETAT% 38
ENSENYAMENT | SOCIETAT% 38
TERRORISME | CONFLICTES ARMATS% 38
ESPORTS | POLÍTICA% 38
TURISME | MEDICINA I SANITAT% 38
ECONOMIA, COMERÇ I FINANCES | ENERGIA% 37
RELACIONS INTERNACIONALS | CONFLICTES ARMATS% 37
ENSENYAMENT | JUSTÍCIA I ORDRE  PÚBLIC% 37
MEDICINA I SANITAT | ENSENYAMENT% 37
MEDICINA I SANITAT | ECONOMIA, COMERÇ I FINANCES% 37
TRANSPORTS I COMUNICACIONS | SOCIETAT% 36
AGRICULTURA, RAMADERIA I PESCA | MEDI AMBIENT% 36
FESTES I TRADICIONS | MEDICINA I SANITAT% 36
SOCIETAT | TRANSPORTS I COMUNICACIONS% 35
URBANISME I HABITATGE | ECONOMIA, COMERÇ I FINANCES% 35
ACCIDENTS I CATÀSTROFES | SOCIETAT% 35
MEDI AMBIENT | POLÍTICA% 35
MÚSICA | SOCIETAT% 35
SOCIETAT | MÚSICA% 35
CINEMA | SOCIETAT% 34
TRANSPORTS I COMUNICACIONS | TURISME% 34
MEDI AMBIENT | AGRICULTURA, RAMADERIA I PESCA% 34
AGRICULTURA, RAMADERIA I PESCA | JUSTÍCIA I ORDRE  PÚBLIC% 34
TREBALL | SOCIETAT% 33
POLÍTICA | ACCIDENTS I CATÀSTROFES% 33
MEDICINA I SANITAT | TREBALL% 33
POLÍTICA | MEDI AMBIENT% 33
TURISME | TRANSPORTS I COMUNICACIONS% 32
TREBALL | POLÍTICA% 32
ESPORTS | ACCIDENTS I CATÀSTROFES% 32
CONFLICTES ARMATS | TERRORISME% 32
ECONOMIA, COMERÇ I FINANCES | TRANSPORTS I COMUNICACIONS% 32
ACCIDENTS I CATÀSTROFES | POLÍTICA% 31
MEDICINA I SANITAT | TURISME% 31
TRANSPORTS I COMUNICACIONS | ECONOMIA, COMERÇ I FINANCES% 30
INDÚSTRIA | TREBALL% 30
ECONOMIA, COMERÇ I FINANCES | AGRICULTURA, RAMADERIA I PESCA% 30
TRANSPORTS I COMUNICACIONS | FENÒMENS NATURALS% 30
URBANISME I HABITATGE | POLÍTICA% 29
ECONOMIA, COMERÇ I FINANCES | RELACIONS INTERNACIONALS% 28
SOCIETAT | MITJANS DE COMUNICACIÓ% 28
MEDI AMBIENT | SOCIETAT% 28
SOCIETAT | ACCIDENTS I CATÀSTROFES% 28
RELACIONS INTERNACIONALS | POLÍTICA% 27
JUSTÍCIA I ORDRE  PÚBLIC | RELACIONS INTERNACIONALS% 27
FESTES I TRADICIONS | JUSTÍCIA I ORDRE  PÚBLIC% 27
JUSTÍCIA I ORDRE  PÚBLIC | TREBALL% 27
ENERGIA | ECONOMIA, COMERÇ I FINANCES% 27
ECONOMIA, COMERÇ I FINANCES | URBANISME I HABITATGE% 26
ECONOMIA, COMERÇ I FINANCES | TURISME% 26
RELIGIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 26
AGRICULTURA, RAMADERIA I PESCA | FENÒMENS NATURALS% 26
MITJANS DE COMUNICACIÓ | SOCIETAT% 25
POLÍTICA | TRANSPORTS I COMUNICACIONS% 25
MEDI AMBIENT | JUSTÍCIA I ORDRE  PÚBLIC% 25
TRANSPORTS I COMUNICACIONS | MEDICINA I SANITAT% 25
FESTES I TRADICIONS | ECONOMIA, COMERÇ I FINANCES% 25
MEDI AMBIENT | TURISME% 25
SOCIETAT | RELIGIÓ% 24
SOCIETAT | MEDI AMBIENT% 24
POLÍTICA | DEFENSA% 24
RELIGIÓ | POLÍTICA% 24
JUSTÍCIA I ORDRE  PÚBLIC | FESTES I TRADICIONS% 24
ESPORTS | FESTES I TRADICIONS% 24
POLÍTICA | URBANISME I HABITATGE% 24
ESPORTS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 24
CULTURA | HISTÒRIA% 24
ESPORTS | ECONOMIA, COMERÇ I FINANCES% 23
TREBALL | INDÚSTRIA% 23
MEDI AMBIENT | ACCIDENTS I CATÀSTROFES% 23
AGRICULTURA, RAMADERIA I PESCA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 23
SOCIETAT | ENSENYAMENT% 23
JUSTÍCIA I ORDRE  PÚBLIC | AGRICULTURA, RAMADERIA I PESCA% 23
POLÍTICA | CONFLICTES ARMATS% 23
FENÒMENS NATURALS | AGRICULTURA, RAMADERIA I PESCA% 23
FESTES I TRADICIONS | POLÍTICA% 22
MEDICINA I SANITAT | ESPORTS% 22
JUSTÍCIA I ORDRE  PÚBLIC | RELIGIÓ% 22
SOCIETAT | FENÒMENS NATURALS% 22
SOCIETAT | ARTS% 22
SOCIETAT | URBANISME I HABITATGE% 21
SOCIETAT | TURISME% 21
JUSTÍCIA I ORDRE  PÚBLIC | MEDI AMBIENT% 21
JUSTÍCIA I ORDRE  PÚBLIC | MITJANS DE COMUNICACIÓ% 21
MEDICINA I SANITAT | TRANSPORTS I COMUNICACIONS% 21
CONFLICTES ARMATS | POLÍTICA% 21
ESPORTS | ESPORTS | ESPORTS% 21
ACCIDENTS I CATÀSTROFES | ESPORTS% 20
MEDI AMBIENT | TRANSPORTS I COMUNICACIONS% 20
MEDI AMBIENT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 20
JUSTÍCIA I ORDRE  PÚBLIC | CONFLICTES ARMATS% 20
AGRICULTURA, RAMADERIA I PESCA | CIÈNCIA I INVESTIGACIÓ% 20
POLÍTICA | FESTES I TRADICIONS% 20
TRANSPORTS I COMUNICACIONS | POLÍTICA% 20
ESPORTS | TURISME% 19
ENERGIA | MEDI AMBIENT% 19
ESPORTS | TREBALL% 19
FESTES I TRADICIONS | GASTRONOMIA% 19
TURISME | SOCIETAT% 18
OBRES PÚBLIQUES I INFRAESTRUCTURES | AGRICULTURA, RAMADERIA I PESCA% 18
ECONOMIA, COMERÇ I FINANCES | FESTES I TRADICIONS% 18
RELACIONS INTERNACIONALS | JUSTÍCIA I ORDRE  PÚBLIC% 18
DEFENSA | RELACIONS INTERNACIONALS% 18
TERRORISME | SOCIETAT% 18
GASTRONOMIA | FESTES I TRADICIONS% 17
POLÍTICA | ESPORTS% 17
DEFENSA | POLÍTICA% 17
SOCIETAT | CINEMA% 17
FENÒMENS NATURALS | TURISME% 17
JUSTÍCIA I ORDRE  PÚBLIC | ENSENYAMENT% 17
MEDI AMBIENT | CIÈNCIA I INVESTIGACIÓ% 17
CIÈNCIA I INVESTIGACIÓ | MEDI AMBIENT% 17
TRANSPORTS I COMUNICACIONS | MEDI AMBIENT% 17
FESTES I TRADICIONS | ACCIDENTS I CATÀSTROFES% 17
TURISME | ESPORTS% 17
ACCIDENTS I CATÀSTROFES | FESTES I TRADICIONS% 17
ARTS | CULTURA% 17
RELACIONS INTERNACIONALS | RELACIONS INTERNACIONALS% 17
ACCIDENTS I CATÀSTROFES | DEFENSA% 17
URBANISME I HABITATGE | SOCIETAT% 16
INDÚSTRIA | MEDI AMBIENT% 16
RELACIONS INTERNACIONALS | ECONOMIA, COMERÇ I FINANCES% 16
CULTURA | ARTS% 16
POLÍTICA | CULTURA% 16
SOCIETAT | CULTURA% 15
SOCIETAT | CIÈNCIA I INVESTIGACIÓ% 15
ESPORTS | URBANISME I HABITATGE% 15
DEFENSA | ACCIDENTS I CATÀSTROFES% 15
CIÈNCIA I INVESTIGACIÓ | SOCIETAT% 15
POLÍTICA | TURISME% 15
SOCIETAT | TERRORISME% 15
FESTES I TRADICIONS | ESPORTS% 14
OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDI AMBIENT% 14
SOCIETAT | HISTÒRIA% 14
TREBALL | ACCIDENTS I CATÀSTROFES% 14
TURISME | MEDI AMBIENT% 14
ESPORTS | FENÒMENS NATURALS% 14
SOCIETAT | CONFLICTES ARMATS% 14
FENÒMENS NATURALS | MEDI AMBIENT% 14
FENÒMENS NATURALS | SOCIETAT% 14
TERRORISME | RELACIONS INTERNACIONALS% 14
MEDICINA I SANITAT | ACCIDENTS I CATÀSTROFES% 14
AGRICULTURA, RAMADERIA I PESCA | MEDICINA I SANITAT% 14
TURISME | POLÍTICA% 14
MEDICINA I SANITAT | INDÚSTRIA% 14
MITJANS DE COMUNICACIÓ | JUSTÍCIA I ORDRE  PÚBLIC% 13
MITJANS DE COMUNICACIÓ | ESPORTS% 13
HISTÒRIA | POLÍTICA% 13
FESTES I TRADICIONS | MÚSICA% 13
CULTURA | SOCIETAT% 13
JUSTÍCIA I ORDRE  PÚBLIC | URBANISME I HABITATGE% 13
ECONOMIA, COMERÇ I FINANCES | MEDI AMBIENT% 13
ESPECTACLES | CULTURA% 13
CONFLICTES ARMATS | SOCIETAT% 13
TREBALL | TURISME% 13
SOCIETAT | RELACIONS INTERNACIONALS% 13
MEDI AMBIENT | MEDICINA I SANITAT% 13
ESPECTACLES | MÚSICA% 13
OBRES PÚBLIQUES I INFRAESTRUCTURES | ESPORTS% 13
TRANSPORTS I COMUNICACIONS | URBANISME I HABITATGE% 13
ENERGIA | POLÍTICA% 13
MEDI AMBIENT | URBANISME I HABITATGE% 12
URBANISME I HABITATGE | MEDI AMBIENT% 12
ARTS | SOCIETAT% 12
POLÍTICA | RELIGIÓ% 12
RELACIONS INTERNACIONALS | SOCIETAT% 12
CONFLICTES ARMATS | JUSTÍCIA I ORDRE  PÚBLIC% 12
JUSTÍCIA I ORDRE  PÚBLIC | DEFENSA% 12
INDÚSTRIA | MEDICINA I SANITAT% 12
ACCIDENTS I CATÀSTROFES | TREBALL% 12
ACCIDENTS I CATÀSTROFES | OBRES PÚBLIQUES I INFRAESTRUCTURES% 12
AGRICULTURA, RAMADERIA I PESCA | TREBALL% 11
TREBALL | AGRICULTURA, RAMADERIA I PESCA% 11
JUSTÍCIA I ORDRE  PÚBLIC | TURISME% 11
OBRES PÚBLIQUES I INFRAESTRUCTURES | URBANISME I HABITATGE% 11
MEDI AMBIENT | ENERGIA% 11
MÚSICA | CINEMA% 11
MEDICINA I SANITAT | DEFENSA% 11
ACCIDENTS I CATÀSTROFES | CIÈNCIA I INVESTIGACIÓ% 11
FESTES I TRADICIONS | FENÒMENS NATURALS% 11
CIÈNCIA I INVESTIGACIÓ | TRANSPORTS I COMUNICACIONS% 11
SOCIETAT | INDÚSTRIA% 11
MÚSICA | FESTES I TRADICIONS% 10
FESTES I TRADICIONS | CULTURA% 10
ESPORTS | MÚSICA% 10
POLÍTICA | INDÚSTRIA% 10
ENSENYAMENT | CIÈNCIA I INVESTIGACIÓ% 10
ESPORTS | TRANSPORTS I COMUNICACIONS% 10
MEDICINA I SANITAT | AGRICULTURA, RAMADERIA I PESCA% 10
ARTS | INDÚSTRIA% 10
ARTS | ECONOMIA, COMERÇ I FINANCES% 10
CULTURA | MÚSICA% 10
MEDI AMBIENT | FENÒMENS NATURALS% 10
HISTÒRIA | SOCIETAT% 10
TURISME | FESTES I TRADICIONS% 10
CINEMA | MITJANS DE COMUNICACIÓ% 10
FESTES I TRADICIONS | TAUROMÀQUIA% 10
DEFENSA | CONFLICTES ARMATS% 10
ARTS | RELIGIÓ% 10
URBANISME I HABITATGE | JUSTÍCIA I ORDRE  PÚBLIC% 9
ECONOMIA, COMERÇ I FINANCES | ESPORTS% 9
INDÚSTRIA | TRANSPORTS I COMUNICACIONS% 9
POLÍTICA | ENERGIA% 9
DEFENSA | JUSTÍCIA I ORDRE  PÚBLIC% 9
AGRICULTURA, RAMADERIA I PESCA | FESTES I TRADICIONS% 9
CULTURA | POLÍTICA% 9
HISTÒRIA | CULTURA% 9
MÚSICA | ESPECTACLES% 9
ACCIDENTS I CATÀSTROFES | URBANISME I HABITATGE% 9
GASTRONOMIA | SOCIETAT% 9
MEDICINA I SANITAT | MITJANS DE COMUNICACIÓ% 9
TRANSPORTS I COMUNICACIONS | FESTES I TRADICIONS% 9
TURISME | ACCIDENTS I CATÀSTROFES% 9
RELIGIÓ | ARTS% 9
ECONOMIA, COMERÇ I FINANCES | ENSENYAMENT% 9
INDÚSTRIA | CIÈNCIA I INVESTIGACIÓ% 9
ECONOMIA, COMERÇ I FINANCES | GASTRONOMIA% 9
AGRICULTURA, RAMADERIA I PESCA | SOCIETAT% 9
CIÈNCIA I INVESTIGACIÓ | ENSENYAMENT% 8
MITJANS DE COMUNICACIÓ | MEDICINA I SANITAT% 8
POLÍTICA | HISTÒRIA% 8
AGRICULTURA, RAMADERIA I PESCA | TURISME% 8
URBANISME I HABITATGE | TURISME% 8
MEDI AMBIENT | ECONOMIA, COMERÇ I FINANCES% 8
ACCIDENTS I CATÀSTROFES | TURISME% 8
TURISME | JUSTÍCIA I ORDRE  PÚBLIC% 8
ESPORTS | RELIGIÓ% 8
AGRICULTURA, RAMADERIA I PESCA | ACCIDENTS I CATÀSTROFES% 8
TERRORISME | RELIGIÓ% 8
ENSENYAMENT | ESPORTS% 8
CIÈNCIA I INVESTIGACIÓ | INDÚSTRIA% 8
ENSENYAMENT | ECONOMIA, COMERÇ I FINANCES% 8
MITJANS DE COMUNICACIÓ | CONFLICTES ARMATS% 8
MEDICINA I SANITAT | FESTES I TRADICIONS% 8
ESPECTACLES | SOCIETAT% 8
MEDICINA I SANITAT | MÚSICA% 8
CINEMA | MÚSICA% 8
OBRES PÚBLIQUES I INFRAESTRUCTURES | ECONOMIA, COMERÇ I FINANCES% 8
RELACIONS INTERNACIONALS | TERRORISME% 8
JUSTÍCIA I ORDRE  PÚBLIC | OBRES PÚBLIQUES I INFRAESTRUCTURES% 8
FENÒMENS NATURALS | ENERGIA% 8
CINEMA | POLÍTICA% 8
SOCIETAT | ESPECTACLES% 8
MITJANS DE COMUNICACIÓ | MÚSICA% 7
ENSENYAMENT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 7
OBRES PÚBLIQUES I INFRAESTRUCTURES | JUSTÍCIA I ORDRE  PÚBLIC% 7
FENÒMENS NATURALS | FESTES I TRADICIONS% 7
LITERATURA | SOCIETAT% 7
TREBALL | ENSENYAMENT% 7
FESTES I TRADICIONS | TREBALL% 7
CIÈNCIA I INVESTIGACIÓ | AGRICULTURA, RAMADERIA I PESCA% 7
JUSTÍCIA I ORDRE  PÚBLIC | MÚSICA% 7
ACCIDENTS I CATÀSTROFES | RELACIONS INTERNACIONALS% 7
RELACIONS INTERNACIONALS | DEFENSA% 7
TRANSPORTS I COMUNICACIONS | ESPORTS% 7
FESTES I TRADICIONS | TRANSPORTS I COMUNICACIONS% 7
ARTS | MÚSICA% 7
OBRES PÚBLIQUES I INFRAESTRUCTURES | MEDICINA I SANITAT% 7
FESTES I TRADICIONS | AGRICULTURA, RAMADERIA I PESCA% 7
CULTURA | RELIGIÓ% 7
MEDICINA I SANITAT | URBANISME I HABITATGE% 7
TURISME | TREBALL% 7
ECONOMIA, COMERÇ I FINANCES | CIÈNCIA I INVESTIGACIÓ% 7
JUSTÍCIA I ORDRE  PÚBLIC | CULTURA% 7
ACCIDENTS I CATÀSTROFES | MEDICINA I SANITAT% 7
RELIGIÓ | MITJANS DE COMUNICACIÓ% 7
MEDI AMBIENT | INDÚSTRIA% 7
TERRORISME | DEFENSA% 7
CINEMA | LITERATURA% 7
TURISME | FENÒMENS NATURALS% 7
FESTES I TRADICIONS | MITJANS DE COMUNICACIÓ% 6
OBRES PÚBLIQUES I INFRAESTRUCTURES | SOCIETAT% 6
ENSENYAMENT | MEDI AMBIENT% 6
MÚSICA | JUSTÍCIA I ORDRE  PÚBLIC% 6
RELIGIÓ | MEDICINA I SANITAT% 6
ENERGIA | SOCIETAT% 6
CULTURA | ESPECTACLES% 6
ESPORTS | ESPECTACLES% 6
URBANISME I HABITATGE | OBRES PÚBLIQUES I INFRAESTRUCTURES% 6
URBANISME I HABITATGE | TRANSPORTS I COMUNICACIONS% 6
CULTURA | FESTES I TRADICIONS% 6
JUSTÍCIA I ORDRE  PÚBLIC | ENERGIA% 6
POLÍTICA | CIÈNCIA I INVESTIGACIÓ% 6
MEDICINA I SANITAT | MEDI AMBIENT% 6
SOCIETAT | AGRICULTURA, RAMADERIA I PESCA% 6
CINEMA | JUSTÍCIA I ORDRE  PÚBLIC% 6
AGRICULTURA, RAMADERIA I PESCA | INDÚSTRIA% 6
TURISME | URBANISME I HABITATGE% 6
ENERGIA | INDÚSTRIA% 6
ECONOMIA, COMERÇ I FINANCES | CULTURA% 6
TURISME | AGRICULTURA, RAMADERIA I PESCA% 6
URBANISME I HABITATGE | ACCIDENTS I CATÀSTROFES% 6
CONFLICTES ARMATS | DEFENSA% 6
TREBALL | MITJANS DE COMUNICACIÓ% 6
GASTRONOMIA | ECONOMIA, COMERÇ I FINANCES% 6
JUSTÍCIA I ORDRE  PÚBLIC | JUSTÍCIA I ORDRE  PÚBLIC% 6
TERRORISME | TURISME% 6
FESTES I TRADICIONS | DEFENSA% 6
ACCIDENTS I CATÀSTROFES | TERRORISME% 6
ACCIDENTS I CATÀSTROFES | ENERGIA% 6
POLÍTICA | MÚSICA% 6
ACCIDENTS I CATÀSTROFES | AGRICULTURA, RAMADERIA I PESCA% 6
GASTRONOMIA | AGRICULTURA, RAMADERIA I PESCA% 6
HISTÒRIA | JUSTÍCIA I ORDRE  PÚBLIC% 5
CULTURA | JUSTÍCIA I ORDRE  PÚBLIC% 5
CULTURA | ESPORTS% 5
SOCIETAT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 5
LITERATURA | CULTURA% 5
CULTURA | TURISME% 5
ENSENYAMENT | MITJANS DE COMUNICACIÓ% 5
ESPORTS | MEDI AMBIENT% 5
MÚSICA | MITJANS DE COMUNICACIÓ% 5
ACCIDENTS I CATÀSTROFES | ECONOMIA, COMERÇ I FINANCES% 5
FESTES I TRADICIONS | ESPECTACLES% 5
ENERGIA | JUSTÍCIA I ORDRE  PÚBLIC% 5
CIÈNCIA I INVESTIGACIÓ | ESPORTS% 5
INDÚSTRIA | SOCIETAT% 5
JUSTÍCIA I ORDRE  PÚBLIC | CINEMA% 5
ENERGIA | FENÒMENS NATURALS% 5
INDÚSTRIA | POLÍTICA% 5
CONFLICTES ARMATS | RELIGIÓ% 5
MEDICINA I SANITAT | OBRES PÚBLIQUES I INFRAESTRUCTURES% 5
MITJANS DE COMUNICACIÓ | CULTURA% 5
CULTURA | LITERATURA% 5
ARTS | POLÍTICA% 5
RELACIONS INTERNACIONALS | MEDICINA I SANITAT% 5
HISTÒRIA | CIÈNCIA I INVESTIGACIÓ% 5
MITJANS DE COMUNICACIÓ | ENSENYAMENT% 5
FESTES I TRADICIONS | HISTÒRIA% 5
FESTES I TRADICIONS | INDÚSTRIA% 5
MITJANS DE COMUNICACIÓ | CINEMA% 5
MÚSICA | ENSENYAMENT% 5
MEDICINA I SANITAT | RELACIONS INTERNACIONALS% 5
SOCIETAT | LITERATURA% 5
OBRES PÚBLIQUES I INFRAESTRUCTURES | ACCIDENTS I CATÀSTROFES% 5
ESPORTS | CINEMA% 5
CIÈNCIA I INVESTIGACIÓ | HISTÒRIA% 5
AGRICULTURA, RAMADERIA I PESCA | TRANSPORTS I COMUNICACIONS% 5
CULTURA | ENSENYAMENT% 5
ESPECTACLES | ESPORTS% 5
TRANSPORTS I COMUNICACIONS | ENERGIA% 5
DEFENSA | SOCIETAT% 5
ESPORTS | CIÈNCIA I INVESTIGACIÓ% 5
MEDI AMBIENT | ENSENYAMENT% 5
ENSENYAMENT | TREBALL% 4
URBANISME I HABITATGE | ESPORTS% 4
MEDI AMBIENT | ARTS% 4
TURISME | CULTURA% 4
FENÒMENS NATURALS | ESPORTS% 4
SOCIETAT | GASTRONOMIA% 4
LITERATURA | ECONOMIA, COMERÇ I FINANCES% 4
CULTURA | ECONOMIA, COMERÇ I FINANCES% 4
MÚSICA | OBRES PÚBLIQUES I INFRAESTRUCTURES% 4
ESPECTACLES | ENSENYAMENT% 4
CIÈNCIA I INVESTIGACIÓ | ECONOMIA, COMERÇ I FINANCES% 4
MITJANS DE COMUNICACIÓ | FESTES I TRADICIONS% 4
CULTURA | CINEMA% 4
POLÍTICA | POLÍTICA% 4
GASTRONOMIA | ENSENYAMENT% 4
ESPORTS | ENSENYAMENT% 4
ENERGIA | TRANSPORTS I COMUNICACIONS% 4
ENSENYAMENT | TRANSPORTS I COMUNICACIONS% 4
POLÍTICA | FENÒMENS NATURALS% 4
DEFENSA | MEDICINA I SANITAT% 4
CINEMA | CULTURA% 4
CULTURA | MEDICINA I SANITAT% 4
OBRES PÚBLIQUES I INFRAESTRUCTURES | TURISME% 4
TURISME | OBRES PÚBLIQUES I INFRAESTRUCTURES% 4
OBRES PÚBLIQUES I INFRAESTRUCTURES | ENSENYAMENT% 4
ARTS | TURISME% 4
CONFLICTES ARMATS | MITJANS DE COMUNICACIÓ% 4
FENÒMENS NATURALS | OBRES PÚBLIQUES I INFRAESTRUCTURES% 4
ARTS | ENSENYAMENT% 4
ENERGIA | ACCIDENTS I CATÀSTROFES% 4
RELACIONS INTERNACIONALS | ENERGIA% 4
INDÚSTRIA | AGRICULTURA, RAMADERIA I PESCA% 4
